candy,sales
candy corn,5.51
candy corn,4.09
candy corn,5.57
candy corn,6.85
candy corn,4.83
candy corn,8.6
candy corn,4.53
candy corn,2.12
candy corn,7.6
candy corn,3.24
candy corn,4.82
candy corn,5.56
candy corn,6.17
candy corn,4.53
candy corn,6.15
candy corn,3.75
candy corn,6.61
candy corn,5.39
candy corn,6.44
candy corn,4.82
chocolate,17.06
chocolate,14.46
chocolate,14.21
chocolate,14.66
chocolate,16.9
chocolate,13.16
chocolate,17.83
chocolate,10.9
chocolate,11.31
chocolate,15.46
chocolate,15.52
chocolate,13.72
chocolate,15.43
chocolate,17.1
chocolate,14.97
chocolate,15.94
chocolate,15.7
chocolate,15.29
chocolate,12.24
chocolate,17.09
