"year","college","applied","accepted"
2023,"College of Computing",14732,1533
2023,"College of Design",1513,287
2023,"College of Engineering",22952,3584
2023,"College of Sciences",7217,1532
2023,"Ivan Allen College",2423,520
2023,"Scheller College of Business",2816,464
2024,"College of Computing",14926,1265
2024,"College of Design",1809,282
2024,"College of Engineering",27204,3570
2024,"College of Sciences",8932,1507
2024,"Ivan Allen College",3000,500
2024,"Scheller College of Business",3127,513
2025,"College of Computing",13556,1310
2025,"College of Design",2007,313
2025,"College of Engineering",32934,3795
2025,"College of Sciences",10419,1541
2025,"Ivan Allen College",3200,558
2025,"Scheller College of Business",3852,511
