"flavor","sales"
"vanilla",9.5
"vanilla",11.2
"vanilla",10.88
"vanilla",8.86
"vanilla",12.38
"vanilla",10.18
"vanilla",13.42
"vanilla",11.1
"vanilla",7.61
"vanilla",12.11
"vanilla",6.03
"vanilla",16.29
"vanilla",9.76
"vanilla",7.62
"vanilla",9.21
"vanilla",6.71
"vanilla",6.62
"vanilla",16.27
"vanilla",9.51
"vanilla",16.76
"cookie_dough",20.63
"cookie_dough",22.43
"cookie_dough",14.97
"cookie_dough",19.28
"cookie_dough",17.48
"cookie_dough",15.38
"cookie_dough",16.65
"cookie_dough",9.34
"cookie_dough",19.06
"cookie_dough",5.72
"cookie_dough",19.55
"cookie_dough",14.48
"cookie_dough",13.23
"cookie_dough",21.4
"cookie_dough",22.45
"cookie_dough",13.81
"cookie_dough",19.05
"cookie_dough",20.87
"cookie_dough",10.7
"cookie_dough",12.5
