"student_id","school_type","major","parent_in_stem","age"
1,"STEM School","STEM","No",22
2,"STEM School","Business","No",21
3,"STEM School","STEM","No",19
4,"Non-STEM School","Arts","No",20
5,"STEM School","STEM","Yes",22
6,"Non-STEM School","Humanities","No",20
7,"STEM School","STEM","Yes",21
8,"STEM School","STEM","No",22
9,"Non-STEM School","Social Sciences","Yes",22
10,"STEM School","Social Sciences","Yes",20
11,"Non-STEM School","Humanities","Yes",21
12,"STEM School","Business","Yes",22
13,"Non-STEM School","STEM","Yes",22
14,"Non-STEM School","STEM","No",21
15,"STEM School","STEM","No",20
16,"STEM School","STEM","Yes",20
17,"Non-STEM School","Social Sciences","No",19
18,"Non-STEM School","Business","Yes",23
19,"Non-STEM School","Arts","No",23
20,"Non-STEM School","Humanities","No",22
21,"Non-STEM School","Humanities","Yes",21
22,"Non-STEM School","Social Sciences","Yes",22
23,"Non-STEM School","Humanities","Yes",21
24,"STEM School","Arts","Yes",20
25,"Non-STEM School","Social Sciences","No",20
26,"Non-STEM School","Arts","Yes",21
27,"Non-STEM School","Business","Yes",20
28,"Non-STEM School","Business","Yes",21
29,"STEM School","STEM","Yes",20
30,"Non-STEM School","Social Sciences","No",22
31,"Non-STEM School","Social Sciences","No",21
32,"STEM School","Social Sciences","Yes",24
33,"Non-STEM School","Humanities","Yes",21
34,"STEM School","Arts","Yes",20
35,"Non-STEM School","Humanities","Yes",22
36,"STEM School","Humanities","No",21
37,"STEM School","STEM","Yes",20
38,"Non-STEM School","Arts","No",20
39,"Non-STEM School","Business","Yes",21
40,"Non-STEM School","Business","No",20
41,"Non-STEM School","Arts","No",20
42,"STEM School","STEM","Yes",20
43,"Non-STEM School","Humanities","No",19
44,"Non-STEM School","Humanities","Yes",22
45,"Non-STEM School","Humanities","No",22
46,"Non-STEM School","Arts","No",23
47,"Non-STEM School","Business","No",21
48,"Non-STEM School","Humanities","No",20
49,"Non-STEM School","Arts","Yes",22
50,"STEM School","Business","Yes",21
51,"Non-STEM School","Arts","No",21
52,"Non-STEM School","Business","Yes",20
53,"Non-STEM School","Social Sciences","No",20
54,"STEM School","Business","Yes",20
55,"Non-STEM School","STEM","Yes",20
56,"STEM School","Arts","Yes",21
57,"Non-STEM School","Business","No",21
58,"Non-STEM School","Social Sciences","Yes",21
59,"Non-STEM School","Social Sciences","No",21
60,"Non-STEM School","Social Sciences","No",21
61,"Non-STEM School","Arts","Yes",22
62,"STEM School","STEM","Yes",21
63,"Non-STEM School","Humanities","Yes",21
64,"Non-STEM School","Arts","No",22
65,"Non-STEM School","Business","No",19
66,"Non-STEM School","Arts","No",21
67,"Non-STEM School","Business","No",20
68,"Non-STEM School","Business","Yes",20
69,"STEM School","Social Sciences","No",21
70,"Non-STEM School","Business","No",21
71,"Non-STEM School","Arts","No",20
72,"STEM School","Arts","Yes",22
73,"Non-STEM School","Business","No",22
74,"STEM School","Social Sciences","Yes",22
75,"Non-STEM School","Arts","No",22
76,"Non-STEM School","Humanities","No",21
77,"STEM School","Business","No",22
78,"Non-STEM School","Arts","No",22
79,"STEM School","Business","Yes",20
80,"Non-STEM School","Social Sciences","Yes",21
81,"Non-STEM School","Arts","No",22
82,"STEM School","STEM","Yes",23
83,"STEM School","Business","Yes",20
84,"STEM School","STEM","No",21
85,"STEM School","Humanities","No",20
86,"Non-STEM School","Business","Yes",21
87,"Non-STEM School","Business","Yes",22
88,"Non-STEM School","Business","No",22
89,"Non-STEM School","Business","Yes",21
90,"Non-STEM School","Social Sciences","No",22
91,"Non-STEM School","STEM","No",22
92,"Non-STEM School","Arts","No",21
93,"Non-STEM School","Humanities","Yes",21
94,"STEM School","STEM","Yes",22
95,"STEM School","Business","No",23
96,"STEM School","STEM","No",21
97,"STEM School","STEM","No",20
98,"Non-STEM School","Business","No",22
99,"STEM School","STEM","Yes",23
100,"Non-STEM School","Humanities","Yes",21
