"flavor","sales","day"
"vanilla",49.17,1
"vanilla",52.01,2
"vanilla",51.47,3
"vanilla",48.1,4
"vanilla",53.97,5
"vanilla",50.3,6
"vanilla",55.69,7
"vanilla",51.83,8
"vanilla",46.02,9
"vanilla",53.51,10
"vanilla",43.38,11
"vanilla",60.48,12
"vanilla",49.6,13
"vanilla",46.04,14
"vanilla",48.68,15
"vanilla",44.52,16
"vanilla",44.36,17
"vanilla",60.45,18
"vanilla",49.18,19
"vanilla",61.26,20
"cookie_dough",46.76,1
"cookie_dough",48.91,2
"cookie_dough",39.96,3
"cookie_dough",45.14,4
"cookie_dough",42.98,5
"cookie_dough",40.46,6
"cookie_dough",41.99,7
"cookie_dough",33.21,8
"cookie_dough",44.87,9
"cookie_dough",28.87,10
"cookie_dough",45.45,11
"cookie_dough",39.38,12
"cookie_dough",37.87,13
"cookie_dough",47.67,14
"cookie_dough",48.95,15
"cookie_dough",38.57,16
"cookie_dough",44.86,17
"cookie_dough",47.05,18
"cookie_dough",34.85,19
"cookie_dough",37,20
