OBJECTID_1,OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,GLOBALID,Shape_Leng,aggregatio,HasData,ORIGINAL_O,sourceCoun,apportionm,population,populati_1,gender_MED,gender_MAL,gender_M_1,gender_M_2,gender_M_3,gender_M_4,gender_M_5,gender_M_6,gender_M_7,gender_M_8,gender_M_9,gender__10,gender__11,gender__12,gender__13,gender__14,gender__15,gender__16,gender__17,gender__18,gender__19,gender__20,gender__21,gender__22,gender__23,gender__24,gender__25,gender__26,gender__27,gender_FEM,gender_F_1,gender_F_2,gender_F_3,gender_F_4,gender_F_5,gender_F_6,gender_F_7,gender_F_8,gender_F_9,gender__28,gender__29,gender__30,gender__31,gender__32,gender__33,gender__34,gender__35,gender__36,gender__37,gender__38,gender__39,gender__40,gender__41,gender__42,gender__43,gender__44,gender__45,householdt,OwnerRente,OwnerRen_1,OwnerRen_2,OwnerRen_3,housinguni,vacant_VAC,vacant_V_1,raceandhis,raceandh_1,raceandh_2,raceandh_3,raceandh_4,raceandh_5,raceandh_6,raceandh_7,raceandh_8,raceandh_9,raceand_10,raceand_11,hispanicor,hispanic_1,educationa,educatio_1,educatio_2,educatio_3,educatio_4,educatio_5,educatio_6,househol_1,households,householdi,homevalue_,F5yearincre,unitsinstr,unitsins_1,unitsins_2,unitsins_3,unitsins_4,unitsins_5,unitsins_6,unitsins_7,unitsins_8,unitsins_9,unitsin_10,unitsin_11,unitsin_12,unitsin_13,unitsin_14,unitsin_15,commute_AC,commute__1,commute__2,commute__3,commute__4,commute__5,commute__6,Shape__Area,Shape__Length
13,, ,Ridgewood Heights,Neighborhood, ,0,,, ,137.02,0.21,Ridgewood Heights,C, ,,GIS,2022/05/24 00:00:00+00,{6966A245-7101-4837-9445-EE2D2973BF5C},11401.3885878035,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,0,US,2.576,2.191,496,35.8,253,51.01,22,8.7,22,8.7,16,6.32,15,5.93,11,4.35,11,4.35,25,9.88,33,13.04,26,10.28,21,8.3,16,6.32,15,5.93,6,2.37,243,48.99,20,8.23,21,8.64,14,5.76,16,6.58,14,5.76,10,4.12,21,8.64,27,11.11,23,9.47,18,7.41,17,7,12,4.94,9,3.7,165,142,86.06,23,13.94,166,1,0.6,380,76.61,48,9.68,19,3.83,0,0,0,0,11,2.22,35,7.06,0,1.53,0,3.68,0,48.47,32.52,3.01,0,177192,591346,35.8,0,0,0,0,0,0,11,5.42,0,0,0,0,27,13.3,165,81.28,9.06,30.2,0,0,0,58.72,2.01,5968603.19482422,11401.3885878035
14,, ,Fernleaf,Neighborhood, ,0,,, ,54.5,0.09,Fernleaf,C, ,,GIS,2022/05/24 00:00:00+00,{1ED3D5BA-3F49-49D8-AE31-DFDB1E908196},7832.42989488968,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,1,US,2.576,2.191,316,35.8,161,50.95,14,8.7,14,8.7,10,6.21,9,5.59,7,4.35,7,4.35,16,9.94,21,13.04,16,9.94,13,8.07,10,6.21,9,5.59,4,2.48,155,49.05,13,8.39,13,8.39,9,5.81,10,6.45,9,5.81,6,3.87,13,8.39,17,10.97,14,9.03,12,7.74,11,7.1,8,5.16,6,3.87,113,97,85.84,16,14.16,113,0,0,242,76.58,31,9.81,12,3.8,0,0,0,0,7,2.22,22,6.96,0,1.46,0,3.41,0,48.78,32.68,2.8,0,178086,594340,35.8,0,0,0,0,0,0,8,5.8,0,0,0,0,18,13.04,112,81.16,8.99,30.16,0,0,0,58.73,2.12,2373813.2590332,7832.42989488968
15,, ,Westminster/Milmar,Neighborhood, ,0,,, ,90.46,0.14,Westminster Milmar,C, ,,GIS,2022/05/24 00:00:00+00,{0ADF65B4-E775-426C-A571-FEBFB6F8AF40},8756.38903524422,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,2,US,2.576,2.191,421,41.1,212,50.36,16,7.55,21,9.91,17,8.02,17,8.02,12,5.66,5,2.36,5,2.36,8,3.77,19,8.96,17,8.02,13,6.13,17,8.02,12,5.66,209,49.64,12,5.74,17,8.13,22,10.53,16,7.66,11,5.26,6,2.87,5,2.39,10,4.78,22,10.53,15,7.18,15,7.18,15,7.18,11,5.26,140,135,96.43,5,3.57,143,3,2.1,360,85.51,10,2.38,21,4.99,1,0.24,0,0,3,0.71,14,3.33,0,0,0,3.85,1.92,45.38,48.85,3.01,0,200001,956349,41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,100,23.67,0,0,0,0,72.46,3.86,3940356.45825195,8756.38903524422
16,, ,Arden/Habersham,Neighborhood, ,0,,, ,114.61,0.18,Arden Habersham,C, ,,GIS,2022/05/24 00:00:00+00,{D5943E54-D1FC-4DD3-B549-04F6CAA14A85},13491.8818175989,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,3,US,2.576,2.191,355,49.8,175,49.3,5,2.86,12,6.86,13,7.43,18,10.29,6,3.43,3,1.71,3,1.71,10,5.71,8,4.57,12,6.86,15,8.57,13,7.43,9,5.14,180,50.7,6,3.33,12,6.67,12,6.67,15,8.33,8,4.44,3,1.67,5,2.78,8,4.44,8,4.44,13,7.22,18,10,12,6.67,7,3.89,129,122,94.57,7,5.43,129,0,0,333,93.8,3,0.85,3,0.85,1,0.28,0,0,2,0.56,7,1.97,0,3.23,0,4.84,4.03,50.4,33.06,2.75,11.29,200001,1264423,49.8,2,3.08,3,4.62,5,7.69,0,0,0,0,0,0,7,10.77,49,75.38,29.17,31.25,0,0,0,39.58,0,4992431.61035156,13491.8818175989
17,, ,Woodfield,Neighborhood, ,0,,, ,46.39,0.07,Woodfield,C, ,,GIS,2022/05/24 00:00:00+00,{5C9A42E3-7F9B-4C15-8823-7800ACD0A060},5767.47068359751,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,4,US,2.576,2.191,134,40.8,65,48.51,4,6.15,5,7.69,7,10.77,7,10.77,4,6.15,2,3.08,1,1.54,2,3.08,6,9.23,6,9.23,7,10.77,5,7.69,3,4.62,69,51.49,5,7.25,7,10.14,8,11.59,6,8.7,4,5.8,1,1.45,1,1.45,3,4.35,6,8.7,5,7.25,7,10.14,5,7.25,3,4.35,44,43,97.73,1,2.27,49,5,10.2,117,87.31,3,2.24,4,2.99,0,0,0,0,1,0.75,5,3.73,0,1.27,0,0,0,46.84,51.9,3.05,0,200001,1218750,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,100,47.54,0,0,0,1.64,47.54,3.28,2020771.58544922,5767.47068359752
18,, ,Springlake,Neighborhood, ,0,,, ,152.35,0.24,Springlake,C, ,,GIS,2022/05/24 00:00:00+00,{0DC5D413-A7E3-4E5A-9049-1B12A07A78B6},11532.7472374342,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,5,US,2.576,2.191,882,35.6,436,49.43,40,9.17,47,10.78,43,9.86,35,8.03,17,3.9,11,2.52,13,2.98,44,10.09,42,9.63,33,7.57,39,8.94,28,6.42,16,3.67,446,50.57,45,10.09,52,11.66,45,10.09,38,8.52,20,4.48,10,2.24,15,3.36,46,10.31,40,8.97,35,7.85,35,7.85,22,4.93,15,3.36,316,302,95.57,14,4.43,317,1,0.32,838,95.01,6,0.68,7,0.79,0,0,1,0.11,2,0.23,21,2.38,0,3.79,0,1.4,0,38.12,56.69,2.79,0,200001,892500,35.6,0,0,0,0,0,0,0,0,0,0,0,0,17,5.2,310,94.8,41.65,0,0,0,0,58.35,0,6636466.6628418,11532.7472374342
19,, ,Channing Valley,Neighborhood, ,0,,, ,72.96,0.11,Channing Valley,C, ,,GIS,2022/05/24 00:00:00+00,{F80EEC84-9208-4BB9-8F14-3BC13F1C2BB7},7665.76322765146,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,6,US,2.576,2.191,451,32.7,234,51.88,33,14.1,17,7.26,6,2.56,5,2.14,10,4.27,25,10.68,32,13.68,28,11.97,12,5.13,12,5.13,10,4.27,13,5.56,9,3.85,217,48.12,25,11.52,16,7.37,8,3.69,9,4.15,15,6.91,23,10.6,32,14.75,23,10.6,18,8.29,9,4.15,7,3.23,8,3.69,6,2.76,235,177,75.32,58,24.68,241,6,2.49,350,77.61,35,7.76,15,3.33,2,0.44,0,0,6,1.33,29,6.43,0,0,0,4.87,0,67.53,25.32,1.92,0,89228,842262,32.7,35,14.64,8,3.35,0,0,0,0,0,0,0,0,0,0,195,81.59,26.26,0,0,0,0,73.74,0,3178276.43041992,7665.76322765147
20,, ,Collier Hills,Neighborhood, ,0,,, ,151.42,0.24,Collier Hills,C, ,,GIS,2022/05/24 00:00:00+00,{AE90C4DD-AD47-49F6-8846-47B1277D1DFA},11600.4951365807,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,7,US,2.576,2.191,854,33.2,442,51.76,57,12.9,38,8.6,20,4.52,17,3.85,18,4.07,36,8.14,49,11.09,53,11.99,28,6.33,26,5.88,21,4.75,23,5.2,17,3.85,412,48.24,44,10.68,34,8.25,20,4.85,22,5.34,26,6.31,34,8.25,49,11.89,43,10.44,36,8.74,21,5.1,17,4.13,17,4.13,13,3.16,285,231,81.05,54,18.95,302,17,5.63,683,79.98,54,6.32,28,3.28,3,0.35,0,0,10,1.17,51,5.97,0,0.18,0,3.94,0.72,64.22,29.16,3,0,164469,864955,33.2,33,11.46,7,2.43,0,0,0,0,0,0,0,0,8,2.78,240,83.33,26.71,0,0,0,0,72.67,0.62,6595615.11010742,11600.4951365807
21,, ,Colonial Homes,Neighborhood, ,0,,, ,27.42,0.04,Colonial Homes,C, ,,GIS,2022/05/24 00:00:00+00,{95ED6F40-0B41-44A8-A5BE-F06283326C51},4978.10993280417,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,8,US,2.576,2.191,620,32.8,280,45.16,10,3.57,7,2.5,4,1.43,3,1.07,10,3.57,54,19.29,76,27.14,36,12.86,18,6.43,13,4.64,13,4.64,9,3.21,11,3.93,340,54.84,5,1.47,4,1.18,3,0.88,4,1.18,16,4.71,100,29.41,88,25.88,34,10,18,5.29,14,4.12,12,3.53,10,2.94,9,2.65,416,57,13.7,359,86.3,456,40,8.77,416,67.1,94,15.16,41,6.61,0,0,1,0.16,21,3.39,52,8.39,0,8.47,0,4.86,1.44,45.23,40,1.49,6.1,111083,442308,32.8,304,81.28,37,9.89,11,2.94,9,2.41,0,0,0,0,4,1.07,9,2.41,32.37,7.84,0,0,0,54.23,1.03,1194477.70458984,4978.10993280417
22,, ,Cabbagetown,Neighborhood, ,0,,, ,112.17,0.18,Cabbage Town,N, ,,GIS,2022/05/24 00:00:00+00,{267DA5D6-6421-4870-AA02-137C41930051},9042.74879519763,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,9,US,2.576,2.191,1773,36.9,885,49.92,28,3.16,19,2.15,11,1.24,7,0.79,57,6.44,74,8.36,146,16.5,154,17.4,107,12.09,74,8.36,81,9.15,47,5.31,36,4.07,888,50.08,38,4.28,26,2.93,14,1.58,17,1.91,97,10.92,104,11.71,149,16.78,107,12.05,93,10.47,54,6.08,59,6.64,44,4.95,30,3.38,1074,593,55.21,481,44.79,1138,64,5.62,1274,71.86,228,12.86,49,2.76,5,0.28,2,0.11,30,1.69,151,8.52,0.07,3.36,0.14,5.14,6.44,50.79,33.1,1.65,3.84,120877,538366,36.9,402,37.92,118,11.13,15,1.42,34,3.21,49,4.62,51,4.81,44,4.15,348,32.83,49.12,0,1.32,0.44,0.73,42.52,5.87,4886223.46484375,9042.74879519763
