"rating","condition","hill"
94,"a","west"
80,"a","west"
93,"a","west"
92,"a","west"
89,"a","west"
82,"a","west"
90,"a","west"
82,"a","west"
86,"a","west"
89,"a","west"
87,"a","west"
91,"a","west"
83,"a","west"
84,"a","west"
89,"a","west"
90,"a","west"
86,"a","west"
92,"a","west"
90,"a","west"
87,"a","west"
88,"a","west"
89,"a","west"
89,"a","west"
87,"a","west"
84,"a","west"
87,"a","west"
89,"a","west"
88,"a","west"
94,"a","west"
91,"a","west"
92,"a","west"
83,"a","west"
81,"a","west"
92,"a","west"
87,"a","west"
93,"a","west"
94,"a","west"
94,"a","west"
83,"a","west"
90,"a","west"
86,"a","west"
82,"a","west"
87,"a","west"
90,"a","west"
88,"a","west"
92,"a","west"
91,"a","west"
75,"a","west"
92,"a","west"
85,"a","west"
95,"a","east"
92,"a","east"
93,"a","east"
93,"a","east"
90,"a","east"
91,"a","east"
94,"a","east"
89,"a","east"
93,"a","east"
93,"a","east"
99,"a","east"
95,"a","east"
88,"a","east"
91,"a","east"
91,"a","east"
93,"a","east"
92,"a","east"
84,"a","east"
88,"a","east"
89,"a","east"
86,"a","east"
93,"a","east"
87,"a","east"
89,"a","east"
89,"a","east"
86,"a","east"
86,"a","east"
89,"a","east"
96,"a","east"
91,"a","east"
90,"a","east"
95,"a","east"
94,"a","east"
85,"a","east"
84,"a","east"
87,"a","east"
94,"a","east"
96,"a","east"
96,"a","east"
93,"a","east"
99,"a","east"
93,"a","east"
91,"a","east"
88,"a","east"
89,"a","east"
95,"a","east"
93,"a","east"
86,"a","east"
94,"a","east"
89,"a","east"
97,"b","west"
96,"b","west"
87,"b","west"
93,"b","west"
96,"b","west"
85,"b","west"
93,"b","west"
85,"b","west"
91,"b","west"
96,"b","west"
88,"b","west"
92,"b","west"
86,"b","west"
87,"b","west"
87,"b","west"
91,"b","west"
92,"b","west"
93,"b","west"
89,"b","west"
92,"b","west"
93,"b","west"
90,"b","west"
97,"b","west"
89,"b","west"
86,"b","west"
92,"b","west"
91,"b","west"
89,"b","west"
91,"b","west"
84,"b","west"
89,"b","west"
87,"b","west"
93,"b","west"
85,"b","west"
86,"b","west"
94,"b","west"
87,"b","west"
90,"b","west"
85,"b","west"
94,"b","west"
84,"b","west"
92,"b","west"
91,"b","west"
85,"b","west"
90,"b","west"
95,"b","west"
92,"b","west"
91,"b","west"
87,"b","west"
84,"b","west"
83,"b","east"
90,"b","east"
85,"b","east"
85,"b","east"
92,"b","east"
95,"b","east"
85,"b","east"
96,"b","east"
86,"b","east"
91,"b","east"
94,"b","east"
92,"b","east"
88,"b","east"
93,"b","east"
87,"b","east"
91,"b","east"
91,"b","east"
90,"b","east"
89,"b","east"
89,"b","east"
91,"b","east"
91,"b","east"
80,"b","east"
88,"b","east"
90,"b","east"
89,"b","east"
88,"b","east"
90,"b","east"
95,"b","east"
87,"b","east"
90,"b","east"
88,"b","east"
88,"b","east"
90,"b","east"
91,"b","east"
84,"b","east"
96,"b","east"
89,"b","east"
94,"b","east"
89,"b","east"
91,"b","east"
85,"b","east"
92,"b","east"
86,"b","east"
92,"b","east"
93,"b","east"
90,"b","east"
93,"b","east"
87,"b","east"
88,"b","east"
77,"control","west"
80,"control","west"
84,"control","west"
88,"control","west"
85,"control","west"
83,"control","west"
82,"control","west"
83,"control","west"
80,"control","west"
84,"control","west"
78,"control","west"
81,"control","west"
84,"control","west"
81,"control","west"
82,"control","west"
81,"control","west"
80,"control","west"
83,"control","west"
84,"control","west"
86,"control","west"
78,"control","west"
84,"control","west"
82,"control","west"
82,"control","west"
76,"control","west"
85,"control","west"
81,"control","west"
79,"control","west"
77,"control","west"
81,"control","west"
81,"control","west"
80,"control","west"
90,"control","west"
84,"control","west"
83,"control","west"
88,"control","west"
84,"control","west"
84,"control","west"
80,"control","west"
85,"control","west"
81,"control","west"
86,"control","west"
80,"control","west"
81,"control","west"
84,"control","west"
74,"control","west"
73,"control","west"
78,"control","west"
81,"control","west"
83,"control","west"
91,"control","east"
85,"control","east"
85,"control","east"
86,"control","east"
92,"control","east"
88,"control","east"
83,"control","east"
80,"control","east"
85,"control","east"
90,"control","east"
81,"control","east"
77,"control","east"
87,"control","east"
89,"control","east"
92,"control","east"
84,"control","east"
86,"control","east"
81,"control","east"
85,"control","east"
88,"control","east"
93,"control","east"
79,"control","east"
83,"control","east"
80,"control","east"
87,"control","east"
86,"control","east"
83,"control","east"
85,"control","east"
80,"control","east"
92,"control","east"
93,"control","east"
83,"control","east"
88,"control","east"
86,"control","east"
87,"control","east"
83,"control","east"
83,"control","east"
84,"control","east"
85,"control","east"
83,"control","east"
85,"control","east"
83,"control","east"
88,"control","east"
80,"control","east"
90,"control","east"
83,"control","east"
85,"control","east"
88,"control","east"
88,"control","east"
83,"control","east"
