# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1464672043
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df0_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled,p_gamma.1,p_aux_unscaled,g_gamma.1,g_aux_unscaled
9.14817,0.86106,0.6528,2,3,0,-6.01049,0.548393,-0.030473,35.1091,-24.5225,41.3903,-3.89279
8.74276,0.972815,0.6528,3,7,0,-8.41455,0.50462,0.11084,28.4342,2.74741,-20.4406,12.694
8.72358,0.966289,0.6528,3,7,0,-7.34262,0.485374,0.0252245,44.2033,-12.2353,-51.19,2.11085
9.38683,1,0.6528,2,3,0,-8.6082,0.500596,-0.00637277,-42.3986,5.26476,-31.8234,-0.453408
9.49667,0.99895,0.6528,3,7,0,-9.34276,0.539489,-0.00669183,20.4976,0.445901,26.1875,-0.273526
7.11889,0.868352,0.6528,3,7,0,-7.10826,0.464118,0.0892199,-1.57871,1.47499,-71.2511,6.79198
8.69768,0.989266,0.6528,2,3,0,-6.15446,0.511616,0.122639,-70.3688,12.863,-11.8994,14.0589
8.85463,0.990669,0.6528,2,3,0,-8.18824,0.537417,0.104719,19.9728,-10.7957,18.4946,12.1627
7.46778,0.832744,0.6528,2,3,0,-6.07602,0.545265,0.182512,-18.9638,-16.7923,23.8679,18.9948
8.86684,0.996272,0.6528,2,3,0,-6.73826,0.555598,-0.014007,43.4695,17.9485,50.9617,-2.42955
8.82048,0.860163,0.6528,2,3,0,-6.75668,0.536274,0.109109,46.1831,-16.966,16.9791,12.6356
8.79603,0.99516,0.6528,3,7,0,-8.20601,0.514307,-0.123028,37.0204,-4.50847,-14.3597,-15.9634
9.43564,0.899914,0.6528,2,3,0,-7.38441,0.50274,0.0126955,40.6247,18.0094,-27.5571,1.98946
8.46743,0.955356,0.6528,2,7,0,-8.36624,0.499464,0.122678,-15.4478,-1.78685,-25.9069,13.6047
8.37925,0.951574,0.6528,2,7,0,-6.85935,0.485006,-0.0648193,-59.8816,6.91757,-61.8802,-9.64787
