# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1020767514
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,aux_unscaled,p_gamma.1,p_z_beta.1,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_aux_unscaled
11.1566,0.992526,0.472462,3,7,0,-10.6925,0.530108,-0.106058,0.0139183,-12.972,-14.7893,-4.125,11.6997,3.48493,7.42988
11.3026,0.997949,0.472462,3,7,0,-10.9427,0.527805,-0.0896193,-0.0561471,-8.54166,1.51923,-8.13503,9.66139,10.9388,-0.895174
11.1382,0.938144,0.472462,3,7,0,-9.27769,0.529721,-0.139786,0.00385306,64.8563,4.63442,7.92751,11.3717,-9.02675,6.16295
11.2789,0.946324,0.472462,2,7,0,-9.22937,0.531171,-0.123993,-0.0923604,-0.396958,-12.3651,19.133,16.3446,-3.77248,-5.38152
11.0823,0.989008,0.472462,2,3,0,-10.9768,0.535431,-0.114339,-0.110976,-6.65695,-6.86747,2.04355,24.7902,0.618729,-8.06102
9.6177,0.915885,0.472462,2,3,0,-9.588,0.554185,-0.120043,-0.161384,-0.803309,-1.31864,2.32331,65.5152,-2.26332,-17.1665
9.06887,0.959658,0.472462,3,7,0,-7.87302,0.483249,-0.125076,0.113829,2.42452,13.6855,-13.5846,-45.3937,-2.864,15.5732
10.7147,0.982707,0.472462,3,7,0,-7.53178,0.541325,-0.0685214,-0.0404658,-36.3684,8.36808,22.8451,30.9423,19.198,-0.146446
8.55369,0.881938,0.472462,2,3,0,-8.12847,0.568562,-0.0863197,-0.144889,-1.7991,14.8697,4.52037,91.6559,14.7371,-17.2753
9.10064,0.835237,0.472462,3,7,0,-3.39858,0.47375,-0.147996,0.0564299,85.6647,10.4442,-24.1028,-63.3933,-10.8981,8.57072
10.9951,1,0.472462,2,3,0,-9.00264,0.50434,-0.0940565,0.000990522,-61.4886,-11.7331,9.27901,-25.8576,8.08271,5.51497
11.1826,0.999736,0.472462,2,3,0,-10.9409,0.507225,-0.105497,-0.00875104,-13.6803,9.22467,3.17473,-22.0429,3.86627,4.69374
10.9465,0.991897,0.472462,3,7,0,-10.7418,0.497456,-0.109798,-0.019404,19.8419,3.66092,2.9476,-37.4665,2.27091,2.91409
10.4603,0.971451,0.472462,3,7,0,-9.88404,0.555379,-0.097202,-0.00828749,-0.664504,9.47742,9.44592,50.0544,7.03346,3.30794
10.5432,0.979394,0.472462,3,7,0,-9.13679,0.534517,-0.0968173,-0.153545,-47.6772,-4.4438,-10.5801,25.1606,9.63382,-14.3633
9.90609,0.97518,0.472462,3,7,0,-9.24341,0.526049,-0.163985,0.0943183,-37.2877,9.77774,2.12041,5.01457,-15.0945,14.8469
9.4792,0.985596,0.472462,3,7,0,-8.46845,0.525241,-0.0316154,-0.11983,19.495,19.3859,8.08709,6.17765,40.1369,-12.3661
11.4107,0.801285,0.472462,2,3,0,-5.50563,0.530278,-0.111502,-0.0582274,11.5347,-58.4493,13.284,13.7914,1.74316,-0.930011
11.2106,0.936735,0.472462,3,7,0,-9.02381,0.504309,-0.11635,-0.0610024,52.9659,-6.78522,14.9071,-29.3131,-0.305041,-1.66901
10.8196,0.917525,0.472462,3,7,0,-8.604,0.499928,-0.0987073,-0.100773,-65.6012,5.7175,-11.1229,-39.6204,7.79023,-7.33668
11.3673,0.975964,0.472462,1,3,0,-10.3569,0.511126,-0.112805,-0.0629697,-37.1535,10.5269,-8.39478,-18.0481,1.20532,-1.59878
10.5788,0.924959,0.472462,2,7,0,-9.39092,0.498883,-0.148516,-0.10281,-26.1169,-22.3599,-6.54609,-41.6717,-15.1695,-8.05573
10.4886,0.990454,0.472462,3,7,0,-9.81832,0.546154,-0.0809823,0.0272763,-39.5306,-3.61733,4.20261,33.7651,12.3196,7.7349
10.7908,0.988701,0.472462,2,3,0,-10.0412,0.540594,-0.0716009,-0.0332007,31.4431,11.1482,6.52234,29.3476,17.6829,0.89881
11.0103,0.996846,0.472462,3,7,0,-10.3135,0.517218,-0.160995,-0.0625541,43.0636,2.56881,-1.95277,-7.87274,-19.3235,-2.24895
10.9529,0.984937,0.472462,3,7,0,-10.1224,0.530868,-0.0712269,-0.0153375,41.6754,-10.7109,2.74282,13.5563,17.2048,3.41778
10.0663,0.959885,0.472462,3,7,0,-9.24407,0.484534,-0.153102,-0.0192298,41.4324,-7.92779,-4.73951,-57.2222,-14.6492,1.18946
8.62777,0.942723,0.472462,3,7,0,-7.39919,0.559835,-0.128993,-0.188387,-48.8405,-15.8889,0.517708,81.259,-7.28305,-22.451
11.1935,0.989084,0.472462,2,3,0,-8.19613,0.537753,-0.0966935,-0.0396889,63.1484,-4.64067,-17.5051,25.2031,7.70255,0.910695
10.5876,0.942397,0.472462,2,7,0,-9.19897,0.536336,-0.0830972,0.0475871,8.7159,-7.25487,-16.0445,19.279,11.1027,10.4324
10.4742,0.992933,0.472462,2,3,0,-10.2682,0.535557,-0.094129,0.0672894,-9.9918,-7.99044,-3.93043,17.533,7.04347,12.6344
6.29876,0.90629,0.472462,3,7,0,-5.42127,0.557077,-0.0824678,-0.266283,35.5032,12.3323,6.35885,88.0236,21.2747,-36.6534
9.34373,0.982685,0.472462,3,7,0,-4.82506,0.505714,-0.196684,0.0740636,55.6725,13.1228,-25.1286,-20.6065,-26.3186,11.2383
10.6867,0.99997,0.472462,3,7,0,-8.81163,0.532349,-0.171743,-0.0685818,23.2348,27.3808,-10.8588,17.5758,-24.1894,-3.63259
10.8312,1,0.472462,1,1,0,-10.6835,0.532507,-0.166303,-0.0609405,3.68722,-9.03467,-2.1891,17.5725,-21.5153,-2.40688
10.3365,0.941958,0.472462,3,7,0,-8.61818,0.545475,-0.071404,-0.105045,52.4966,-11.243,-10.4138,42.7337,20.5177,-8.83148
9.95202,0.983846,0.472462,3,7,0,-9.33577,0.492425,-0.109848,0.0793794,-21.8451,-17.3529,1.06481,-37.0888,1.82802,13.0857
11.2869,1,0.472462,3,7,0,-9.87924,0.519346,-0.144507,-0.0368567,39.4264,-2.76064,-12.9466,-4.10665,-11.6909,1.45611
11.2559,0.986879,0.472462,3,7,0,-10.7551,0.526135,-0.0842868,-0.0499742,-12.7966,-3.59454,-9.20692,6.82716,13.0186,-0.231227
10.3887,0.964944,0.472462,3,7,0,-10.2013,0.513331,-0.138329,-0.166551,-4.56457,-10.8636,1.2642,-17.6673,-11.8714,-16.2567
10.4721,0.987964,0.472462,2,3,0,-9.97891,0.514135,-0.122875,-0.169694,-10.0347,-8.86718,-8.28327,-16.1174,-3.7933,-16.4791
11.2461,0.88176,0.472462,2,3,0,-8.05405,0.520043,-0.085619,-0.0733561,18.1153,23.98,21.1684,-3.22902,13.0661,-3.12262
9.96161,0.940298,0.472462,3,7,0,-9.69423,0.564398,-0.0985656,-0.0103225,5.90211,-10.7086,4.1942,63.8138,6.53914,2.06322
10.2951,0.998809,0.472462,3,7,0,-8.96076,0.485109,-0.0962411,-0.0490266,-26.8869,-27.0322,-1.37042,-59.7929,8.03718,-2.02925
10.2834,0.959948,0.472462,3,7,0,-7.82019,0.509995,-0.145037,0.0787917,76.9325,-0.196169,-8.13901,-15.0266,-9.47689,13.6821
10.8979,0.999099,0.472462,3,7,0,-9.77154,0.548022,-0.125733,-0.0517125,-3.2133,-11.6567,13.6126,42.5761,-4.21301,-1.14965
10.6248,0.990068,0.472462,2,3,0,-10.5012,0.554227,-0.113524,-0.0503725,5.80822,8.66316,0.646259,52.564,0.873668,-1.53272
10.7341,0.994707,0.472462,2,3,0,-10.3435,0.548932,-0.0943433,-0.0712514,32.1618,-3.41299,0.424686,45.8135,9.22942,-3.88382
9.64912,0.953503,0.472462,3,7,0,-8.99301,0.498106,-0.184399,-0.10824,-38.5493,-5.38703,3.96351,-43.5443,-32.0781,-10.5693
8.22402,0.926655,0.472462,2,7,0,-6.46937,0.538729,0.00759945,-0.0214583,-35.7934,-25.2084,-8.57994,25.8029,48.3525,-2.79665
10.8269,1,0.472462,2,7,0,-8.06618,0.508325,-0.0855501,0.0265443,-25.5262,-41.6338,-0.430283,-19.0088,10.7088,8.32065
10.9806,1,0.472462,3,7,0,-10.439,0.500702,-0.14006,-0.0345523,16.3874,-10.8943,-7.38215,-33.4963,-9.8465,1.12721
9.61931,0.95026,0.472462,3,7,0,-8.96022,0.515445,-0.119112,-0.213919,-37.0175,-10.3915,-1.27023,-14.6507,-1.96411,-23.6022
7.43325,0.777207,0.472462,3,7,0,-2.65128,0.546987,-0.21022,-0.174538,-3.83267,19.1713,29.1535,52.2463,-50.3542,-23.1191
9.92467,1,0.472462,3,7,0,-6.45559,0.527286,-0.199831,0.00926704,38.2146,-22.3778,-21.0608,7.73025,-31.0942,4.42221
11.3597,0.994272,0.472462,2,7,0,-9.21787,0.514712,-0.122786,-0.0821592,-15.1041,33.7481,-8.95942,-12.5333,-3.16409,-3.96816
11.2472,0.995701,0.472462,3,7,0,-11.1239,0.519812,-0.0951855,-0.0966243,11.2923,2.00095,3.78669,-3.79483,9.3308,-5.97486
10.1722,0.951835,0.472462,3,7,0,-9.69308,0.498814,-0.0686984,0.0476859,-16.1124,15.253,-3.05759,-30.955,16.0233,9.61283
9.67401,0.96738,0.472462,3,7,0,-8.49276,0.559716,-0.0929119,-0.123463,-31.7741,17.3713,8.7022,71.157,10.9443,-12.409
10.5618,1,0.472462,3,7,0,-9.17033,0.540964,-0.139034,-0.133224,51.835,14.0039,-5.25315,36.5424,-11.4607,-11.8238
10.1405,0.989995,0.472462,3,7,0,-9.44003,0.520758,-0.107935,0.102583,-36.0352,9.59381,-4.4423,-1.41607,2.32627,16.3195
11.0291,0.97927,0.472462,2,7,0,-8.86921,0.528374,-0.0766391,-0.0851343,7.53516,4.9949,-20.5293,11.2304,17.3811,-5.00381
10.7208,0.982411,0.472462,2,7,0,-10.3062,0.521125,-0.135281,0.0579555,9.12772,14.3702,-4.09739,-1.06671,-6.60622,11.9865
9.12045,0.974106,0.472462,3,7,0,-8.80131,0.513635,-0.0397249,-0.160932,-10.3351,13.3103,2.12717,-16.8529,39.3745,-18.1222
7.98534,0.92858,0.472462,3,7,0,-4.90096,0.538031,-0.125149,0.201206,-10.583,-45.7111,-0.222761,15.8643,-2.44324,24.1936
8.86379,0.999858,0.472462,3,7,0,-6.83276,0.508679,-0.100176,-0.234764,26.7273,-32.6429,-6.6615,-31.1863,9.3326,-27.6682
5.06811,0.830741,0.472462,3,7,0,-3.65126,0.46647,-0.124162,0.265219,32.1781,-5.11999,14.1955,-48.134,-1.94597,26.2937
9.43824,0.978117,0.472462,2,7,0,-5.05549,0.488956,-0.122679,0.10597,53.2538,1.55931,-25.9383,-39.3086,-2.17793,15.3403
10.0202,0.999243,0.472462,3,7,0,-8.67623,0.520241,-0.145712,0.101869,51.6199,-4.74421,-8.38838,-2.03882,-9.26317,16.0006
10.2049,0.981237,0.472462,3,7,0,-8.41738,0.545217,-0.0661819,0.0389776,-3.36779,5.94874,-18.6294,31.7091,17.1814,8.60563
9.86772,0.996648,0.472462,3,7,0,-9.6576,0.555416,-0.0700707,0.0398666,19.2021,-6.55774,-1.71159,45.5207,15.8004,8.04351
9.53566,0.975709,0.472462,3,7,0,-8.39535,0.48697,-0.184858,-0.0277745,14.3537,-2.28308,14.5641,-54.4144,-27.5196,-0.912058
10.5441,0.991567,0.472462,3,7,0,-8.66855,0.555368,-0.127907,-0.0405261,-51.9968,-24.7706,1.23329,53.3625,-5.00868,-0.480548
10.0392,0.990481,0.472462,3,7,0,-9.4618,0.547569,-0.115063,0.0832558,38.8701,-4.20567,-1.20079,31.9627,0.152113,13.7381
11.1362,0.980473,0.472462,3,7,0,-8.49344,0.539922,-0.102346,-0.0717905,72.9466,5.4639,11.6905,30.5555,5.76723,-3.14565
10.87,0.984496,0.472462,3,7,0,-10.401,0.513102,-0.0700056,-0.000496063,-22.8803,-13.6512,1.33944,-13.0214,17.1592,5.07709
11.1265,0.930702,0.472462,3,7,0,-8.65486,0.525342,-0.147,-0.0942894,-57.3456,24.4397,-9.13771,6.04877,-14.228,-5.91715
10.7052,0.963854,0.472462,3,7,0,-9.91446,0.512867,-0.0716332,-0.112599,-5.86687,-0.389682,-12.4874,-16.7184,20.7232,-9.02261
10.5051,0.98913,0.472462,3,7,0,-10.0163,0.535344,-0.165279,0.0322371,33.9932,-5.93425,2.05696,18.5076,-17.5245,8.39777
11.052,0.999866,0.472462,3,7,0,-10.1762,0.517976,-0.101751,0.0287865,-18.7777,17.2653,-7.93835,-5.50689,4.90885,9.0492
11.2512,0.986982,0.472462,2,7,0,-10.3236,0.531832,-0.114547,-0.00133666,37.2464,-9.38996,-7.74532,14.6063,0.395736,5.74439
11.2013,0.99419,0.472462,3,7,0,-10.8789,0.50917,-0.132588,-0.0119051,7.64128,-2.02376,7.693,-19.2499,-6.53957,4.34944
8.67223,0.895722,0.472462,3,7,0,-8.20325,0.562719,-0.163484,0.111645,7.5777,8.51651,-8.28633,48.0575,-14.4352,14.5222
8.26893,0.907622,0.472462,3,7,0,-4.13969,0.479597,-0.0839898,-0.177391,79.8518,14.4208,-17.5034,-88.8156,16.9808,-21.8299
8.23866,1,0.472462,3,7,0,-7.66593,0.570396,-0.153006,0.122986,24.0845,-0.715314,-8.52868,55.827,-11.0324,15.0536
8.29301,0.993559,0.472462,3,7,0,-7.83155,0.481744,-0.0842747,-0.184939,-23.0027,-11.9244,-3.5725,-85.5905,17.0854,-22.7071
10.6825,1,0.472462,3,7,0,-7.83581,0.548434,-0.139395,-0.0821561,-61.0286,11.605,-16.1932,45.9577,-10.5215,-5.31537
7.99268,0.798088,0.472462,3,7,0,-5.4746,0.555832,-0.00158971,0.0285109,12.9303,-35.6393,-11.0344,47.1428,40.4904,2.8907
10.8557,0.995993,0.472462,3,7,0,-7.41269,0.495611,-0.104582,-0.0652639,49.2186,40.2823,6.4324,-44.1495,4.73351,-2.90327
10.8519,1,0.472462,3,7,0,-10.7309,0.548907,-0.126552,-0.0288641,0.833891,-9.00336,-0.735204,42.0589,-4.35683,1.56646
11.278,0.990808,0.472462,3,7,0,-10.3842,0.516835,-0.138675,-0.0167922,49.7665,0.488022,0.473658,-7.76865,-8.96935,3.90319
10.2794,0.944702,0.472462,2,3,0,-10.0249,0.50708,-0.172384,-0.112295,-3.26074,-1.22061,-7.0565,-27.3693,-26.6857,-9.81179
8.74318,0.908532,0.472462,3,7,0,-7.51902,0.47782,-0.0596339,0.082744,-12.2203,-22.2963,-9.45592,-55.0724,17.8234,11.0783
6.85831,0.957979,0.472462,3,7,0,-5.42555,0.476203,-0.170392,0.194454,-34.8701,22.8846,6.81501,-45.6949,-14.0198,21.125
5.55679,0.975791,0.472462,3,7,0,-3.56655,0.448842,-0.184318,0.16033,-61.8981,-5.6755,-10.6201,-78.1715,-18.8015,14.3223
8.2191,1,0.472462,2,3,0,-5.55421,0.467896,-0.145615,0.105736,61.219,19.8157,-12.1983,-64.4386,-9.16341,12.8864
8.71855,0.996336,0.472462,3,7,0,-7.54955,0.556608,-0.0718272,-0.173726,-51.5423,11.6799,1.61792,72.1942,23.3242,-20.4858
10.9996,0.993159,0.472462,3,7,0,-8.03835,0.544086,-0.134981,-0.0452205,-58.2618,-16.9497,16.2621,35.686,-7.96588,-0.146955
11.2993,0.983584,0.472462,2,7,0,-10.3513,0.514084,-0.0938785,-0.0699176,44.1426,-12.5696,1.77646,-13.2943,9.40553,-2.59223
10.1345,0.94698,0.472462,2,7,0,-9.5051,0.521518,-0.0597176,0.0691104,-12.6544,-4.21752,-10.4579,-0.538182,18.2904,12.1733
9.71627,0.989635,0.472462,3,7,0,-9.14953,0.525613,-0.197989,-0.104365,-5.48532,9.13399,-9.32977,6.66257,-38.1246,-9.95644
8.5245,0.939248,0.472462,2,3,0,-8.22872,0.520682,-0.209026,-0.155749,13.8857,-3.2957,6.49464,-2.52302,-47.8918,-18.637
8.94605,1,0.472462,3,7,0,-6.93676,0.523429,-0.0798646,0.157471,-0.810154,-36.8329,2.56408,1.6037,9.78378,20.6994
9.93766,0.998109,0.472462,3,7,0,-8.43306,0.516686,-0.0941027,-0.194414,-2.50846,19.22,13.9004,-11.3975,11.9671,-20.5826
9.27005,0.979073,0.472462,2,3,0,-9.2193,0.511559,-0.0949335,-0.22021,9.45619,3.46694,-0.45304,-23.7138,12.1208,-25.0758
8.47979,0.9743,0.472462,2,3,0,-8.00759,0.522904,-0.078423,-0.243279,32.776,6.61209,2.0725,2.31199,22.7858,-29.4827
10.5256,1,0.472462,3,7,0,-7.95052,0.500251,-0.0826483,-0.114884,-17.1768,-10.9881,21.4357,-40.1539,15.6098,-9.65896
10.2465,0.978833,0.472462,3,7,0,-9.262,0.544078,-0.158249,0.0496565,-20.7906,-23.6733,1.57268,29.5225,-14.5361,10.0242
9.03713,0.93392,0.472462,2,3,0,-8.42518,0.551174,-0.209352,-0.00230704,-25.0375,11.2381,-6.36393,43.2424,-35.4141,1.23046
10.5589,1,0.472462,3,7,0,-8.45149,0.50538,-0.17032,-0.00180812,-42.8759,31.1842,-2.38752,-24.4662,-20.65,4.3183
10.7926,0.934297,0.472462,3,7,0,-8.46848,0.53158,-0.155205,0.0240172,-73.7581,-14.336,-3.59706,13.5322,-14.2015,7.95753
11.143,1,0.472462,3,7,0,-10.6697,0.534766,-0.121138,0.00740096,3.90788,-15.0206,5.27949,18.6096,-2.05483,6.60446
10.2347,0.965216,0.472462,3,7,0,-9.57395,0.542088,-0.181859,-0.0146535,29.7402,-12.0152,5.13873,30.5458,-25.6504,2.09484
10.7205,0.996905,0.472462,3,7,0,-9.797,0.541844,-0.153147,0.00720084,-7.53988,24.1471,3.27769,28.8893,-13.9195,5.74454
10.559,0.961122,0.472462,3,7,0,-8.93402,0.510403,-0.064934,0.0275362,19.4372,-2.11239,17.2354,-16.0744,18.0248,7.90373
10.675,0.9723,0.472462,2,7,0,-9.01324,0.498011,-0.156044,-0.0444821,2.06619,29.6922,8.68025,-38.4961,-16.6088,-0.698894
11.0688,1,0.472462,3,7,0,-10.4076,0.510782,-0.107882,0.0206925,31.6347,14.3639,0.108326,-15.7599,2.77869,8.0883
11.4129,0.999838,0.472462,3,7,0,-11.0069,0.516244,-0.119343,-0.0739615,-21.0268,2.29948,6.91994,-9.71562,-1.61416,-2.85623
10.9517,0.908487,0.472462,2,7,0,-9.22265,0.500388,-0.108948,0.00253646,39.1134,-6.96393,-14.8951,-31.5665,2.48638,5.62184
11.1503,0.999671,0.472462,2,3,0,-10.8753,0.505107,-0.11906,-0.00885988,-19.8166,7.03342,3.50803,-25.2218,-1.32356,4.61905
11.1951,0.972767,0.472462,3,7,0,-9.9407,0.540062,-0.117005,-0.061272,-46.3546,16.1105,-4.52377,30.1536,-0.583619,-1.73289
10.8227,0.937152,0.472462,2,7,0,-9.10042,0.539411,-0.0931147,0.0254806,-7.68874,15.4598,16.4648,24.4504,8.02843,8.18314
10.3779,0.99087,0.472462,3,7,0,-10.0616,0.524706,-0.0570978,0.041222,-26.0959,4.59488,-2.83674,3.75378,20.2502,9.22476
