# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=269645765
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_aux_unscaled
-183.382,1,0.526077,3,7,0,184.071,5.33273,-0.0439771,0.00555379,0.0338925,-0.0530713,22.4987,8.38275,-8.11276,-2.51783,-24.5153,28.3421,8.23123
-186.814,0.837256,0.526077,2,7,0,187.651,5.34684,-0.0972123,-0.0040544,0.132359,2.28092,-0.0197323,-24.463,11.8744,-0.73782,-49.1211,32.7056,26.1152
-187.244,1,0.526077,3,7,0,189.091,5.34517,-0.0673808,-0.0705329,0.188388,-0.232793,-26.2615,34.7891,6.69857,-0.800758,-11.1163,-13.7664,39.3466
-184.943,0.99995,0.526077,3,7,0,189.105,5.2203,-0.0738222,-0.00780435,0.0178763,-0.35034,30.4225,4.93406,-40.3231,-15.9207,-42.8788,29.9431,1.09265
-184.734,1,0.526077,3,7,0,185.28,5.47501,-0.0441598,0.0204029,-0.018017,-6.70024,-3.26593,19.6202,-1.84634,15.319,-33.0491,43.4576,-7.50217
-184.659,0.948892,0.526077,3,7,0,188.448,5.47022,-0.00820509,0.0326611,0.0609285,4.41477,-36.9249,-4.14961,-34.4473,12.5636,-7.54944,33.7299,12.4682
-183.945,0.942216,0.526077,3,7,0,186.103,5.28257,-0.0442828,-0.0718543,-0.0559283,-11.6505,38.138,-13.9823,1.34896,-9.90002,2.51271,-33.1236,-15.4316
-183.066,0.85785,0.526077,3,7,0,186.206,5.2888,0.00368194,-0.0232418,-0.00284416,-9.60696,14.0292,-47.5631,-16.5591,-8.13373,21.5544,-9.74793,-0.36053
-184.317,0.901929,0.526077,2,7,0,186.215,5.51471,-0.00662592,-0.0217399,0.0411177,19.7374,-13.8444,4.82854,6.79372,18.103,11.8592,-4.33445,8.17794
-183.331,0.927647,0.526077,3,7,0,185.955,5.25425,-0.0404085,-0.0382958,0.0304028,14.2742,31.1169,-23.8629,12.9143,-11.6039,-6.77615,-4.72738,7.45912
-184.624,0.949698,0.526077,2,3,0,184.821,5.23614,-0.0697322,-0.0628823,0.0734477,4.79453,-5.70007,-7.89043,2.77655,-12.5686,-17.9976,-11.4262,15.6908
-183.265,0.985982,0.526077,3,7,0,185.303,5.43055,-0.00817827,-0.04194,0.0244508,13.5793,11.3426,24.9145,-17.38,8.874,18.2489,-18.8605,6.09553
-185.063,0.8857,0.526077,2,5,0,187.384,5.22965,-0.0212616,-0.00578076,-0.10242,17.3016,7.90695,-16.6047,19.8692,-18.8376,-5.39584,16.0899,-29.3314
-183.789,0.9881,0.526077,2,3,0,185.482,5.26676,-0.0406788,-0.0253465,-0.0749929,12.7272,-1.36111,-16.5509,19.8278,-12.5393,-14.1805,5.96139,-19.9058
-183.024,0.993104,0.526077,2,7,0,184.213,5.41357,-0.00968063,-0.0413106,-0.0135231,-10.3203,2.80718,-10.1461,-18.1037,7.4311,18.2519,-19.271,-2.95662
-182.849,0.993313,0.526077,2,7,0,183.394,5.31432,-0.0511852,-0.0434551,0.00805979,-6.83801,-14.6085,12.1477,2.48033,-4.87544,-13.4301,-4.94819,2.81302
-184.492,0.723743,0.526077,2,3,0,186.973,5.31727,-0.0286858,-0.0898171,0.059794,-1.75527,-16.9616,37.7301,-21.4291,-4.07556,18.6367,-43.7976,12.5228
