# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=204827554
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1a_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_aux_unscaled
-185.111,0.979886,0.507009,3,7,0,188.036,5.32494,0.776478,-0.366271,-0.114779,-13.6892,-0.181227,2.18599,2.60717,-4.59042,1.34257,-0.387632,-31.7916
-184.754,0.999581,0.507009,3,7,0,186.823,5.41125,-1.84991,-0.290738,0.0171449,-0.801455,-0.253205,0.142508,30.7152,6.7142,-2.12682,0.0372766,4.78703
-186.463,0.927758,0.507009,2,3,0,187.264,5.48158,-2.22542,-0.517994,0.0268553,-12.3428,0.282538,0.46021,-3.04703,14.7709,-2.56787,-0.206533,5.52266
-183.064,0.996636,0.507009,2,7,0,186.651,5.30953,-0.124047,0.200292,0.0318948,-14.3363,2.54139,0.308074,-6.6965,-5.20028,-0.00386956,0.430646,8.41821
-182.991,0.948502,0.507009,3,7,0,185.051,5.38597,-0.400622,-0.560941,-0.0318845,-13.7978,-0.903344,-1.18736,11.7905,4.09701,-0.241619,-0.471974,-7.02428
-183.936,0.927661,0.507009,2,3,0,184.32,5.40366,0.34167,-0.995084,-0.0588244,-4.56831,0.152427,0.565557,8.20945,6.76674,0.803183,-1.13499,-15.0399
-183.352,0.991449,0.507009,3,7,0,184.719,5.42005,0.137861,-0.321214,-0.049814,1.50073,-0.616518,1.57986,7.31993,8.86943,0.433341,-0.236573,-12.5972
-184.183,0.937734,0.507009,3,7,0,185.086,5.303,-1.11159,0.0481073,0.072685,-5.0556,1.21872,-0.465646,-7.09008,-5.48693,-1.22028,0.335787,17.608
-184.225,0.967719,0.507009,3,7,0,186.46,5.47837,0.465844,-0.80078,-0.00490981,-7.3351,0.706711,0.877311,-26.1081,15.3396,0.889721,-0.891555,-2.33862
-182.946,0.99829,0.507009,2,3,0,184.346,5.40503,-0.0128031,-0.233612,0.0188171,14.0927,0.806949,-0.801634,-1.40003,5.95658,0.193802,-0.119325,5.37093
-183.125,0.963069,0.507009,3,7,0,184.26,5.33942,-0.0765846,-0.776477,-0.038495,9.55154,0.0560976,-1.21663,-6.57204,-2.02132,0.211244,-0.791614,-8.81759
-185.133,0.895051,0.507009,3,7,0,186.113,5.2936,-0.615315,-1.01056,0.115633,4.15102,-0.033504,1.40905,-4.17076,-5.95205,-0.498327,-1.01505,26.664
-185.251,0.996819,0.507009,3,7,0,185.864,5.40763,0.397269,0.81728,-0.110366,-3.12738,1.12789,0.388373,0.679943,8.10791,0.638236,1.23972,-30.8753
-185.395,0.999516,0.507009,3,7,0,186.584,5.29771,-0.540117,-1.23688,0.117794,4.76216,-0.179884,1.37651,10.771,-5.52803,-0.384258,-1.29538,27.1032
-184.966,0.997927,0.507009,3,7,0,186.656,5.44471,-0.376182,-0.401754,-0.112935,-0.0210074,0.44087,1.58464,-15.4534,13.8552,-0.206309,-0.249285,-31.473
-184.158,1,0.507009,3,7,0,185.531,5.22126,-0.42406,-0.0725517,0.0541563,-3.06759,0.45069,0.167532,23.9972,-14.7025,-0.352221,0.118768,11.9535
-185.595,0.947392,0.507009,3,7,0,186.826,5.24646,1.68007,0.16185,-0.00260592,-14.7813,-0.418871,-0.0529832,10.0604,-13.3562,2.31569,0.166046,-2.50906
-183.99,1,0.507009,3,7,0,186.641,5.4313,-0.3641,0.743034,0.0546551,9.37133,-2.17811,-0.853896,-5.77083,8.43707,-0.371226,1.11699,12.9131
-184.123,0.982547,0.507009,3,7,0,185.591,5.45586,0.413389,0.629042,0.0471072,-2.7496,-1.77684,0.482982,6.15244,11.3099,0.615285,0.891015,10.6338
-183.29,0.994765,0.507009,3,7,0,184.813,5.41864,-0.365739,0.363354,-0.0317125,9.29453,0.927269,0.711685,16.5127,8.36967,-0.322808,0.703068,-7.7887
-183.646,0.904529,0.507009,3,7,0,186.605,5.27419,-0.0505326,-0.535367,0.0584797,-23.6574,-0.680922,0.883497,3.08544,-8.79323,0.165456,-0.495149,14.166
-183.535,0.997013,0.507009,3,7,0,184.435,5.39474,0.126538,0.293561,-0.0678894,11.4334,-0.873089,0.217914,2.41748,5.63563,0.338994,0.565706,-17.5181
-183.411,0.939109,0.507009,3,7,0,185.993,5.31617,-0.719177,-0.955403,0.0188166,-3.62187,0.00182315,0.543418,33.3587,-4.55301,-0.611689,-0.934245,5.815
-185.662,0.894563,0.507009,2,3,0,186.209,5.39504,-2.01764,-1.38039,-0.0114819,7.70077,-0.647222,0.174404,-7.19031,5.07301,-2.21537,-1.30035,-1.74563
-185.863,0.997792,0.507009,3,7,0,186.631,5.36887,1.98517,0.609571,0.0200389,-10.7461,-0.0265138,0.760806,-2.78946,1.67603,2.6186,0.6876,4.10002
-186.481,0.934623,0.507009,3,7,0,190.285,5.38825,-2.50152,-1.01605,0.00221428,15.198,-1.16569,-0.768278,30.555,4.10518,-2.87374,-0.782264,1.36706
-183.22,1,0.507009,2,3,0,186.614,5.30678,-0.620732,-0.744264,-0.0247752,-3.67418,2.75856,0.845503,-1.44367,-6.17876,-0.503278,-0.676875,-5.23433
-183.731,0.95209,0.507009,3,7,0,184.923,5.3909,-0.377014,0.473739,-0.0725096,-3.96547,-0.846885,-0.101916,-19.6915,5.14264,-0.350407,0.877119,-18.8041
-183.717,0.995948,0.507009,3,7,0,184.66,5.41182,0.782822,0.2503,0.0376911,4.34007,-0.366239,0.679836,-16.7944,6.50913,1.12842,0.382173,9.18933
-183.293,0.990945,0.507009,3,7,0,184.297,5.37556,-1.07925,-0.0512688,-0.00515943,6.43472,1.14904,0.508924,9.36304,2.59267,-1.18433,0.254629,-0.228813
-185.678,0.899776,0.507009,2,7,0,186.209,5.36735,1.75427,-0.921178,0.0244674,2.34986,-1.12655,-0.0478238,-0.994143,1.48297,2.50821,-1.19387,5.1956
-185.6,0.999292,0.507009,3,7,0,188.444,5.31504,-2.06393,0.545418,0.00496862,-24.0239,0.176287,-0.459684,10.7886,-4.81799,-2.51249,1.12352,1.0878
-185.441,1,0.507009,3,7,0,186.833,5.34778,-1.93642,0.455268,0.0521721,-7.6813,-0.900659,0.443012,-18.4087,-0.762221,-2.30235,0.945481,12.6583
-187.504,0.966888,0.507009,3,7,0,188.531,5.29151,-2.23481,-0.520338,0.123929,-3.89678,0.964413,-1.13729,3.52453,-6.05484,-2.51862,-0.263374,27.8716
-185.664,0.995535,0.507009,3,7,0,189.233,5.2981,1.69264,0.979326,-0.00681338,-9.63963,-1.83622,0.217441,28.9961,-7.04097,2.23087,1.19696,-2.72914
-183.211,0.998959,0.507009,3,7,0,186.07,5.2796,0.310093,0.00341611,-0.0052937,2.65849,-2.27497,-1.32885,1.28955,-9.31576,0.586496,0.143656,-1.16926
-183.194,0.962722,0.507009,3,7,0,184.713,5.4141,-0.574337,-0.46439,-0.0333976,-8.48973,0.593214,-0.373603,-21.6392,7.80168,-0.479488,-0.324551,-7.73834
-185.379,0.917687,0.507009,3,7,0,186.123,5.4201,0.162063,1.45208,-0.0740964,8.62921,-0.65277,-0.201644,-10.4722,9.31638,0.21626,2.07098,-20.7296
-183.3,0.994186,0.507009,3,7,0,186.305,5.28925,-0.285938,-0.0182564,0.0475483,4.70301,0.081075,2.37729,-14.2302,-7.30556,-0.184717,0.172312,11.9044
-183.267,0.985669,0.507009,3,7,0,184.259,5.42895,-0.127351,-0.207891,-0.0424117,-12.2157,0.404583,-0.577156,-8.00703,9.92808,0.0680712,-0.0554602,-10.6324
-184.151,0.962662,0.507009,2,7,0,184.358,5.49952,-0.0569389,-0.469555,-0.0196,-0.920345,0.00152821,-0.124131,9.54968,18.4969,0.184933,-0.403926,-6.51021
-184.071,0.943561,0.507009,3,7,0,187.303,5.22213,-0.597864,0.156046,0.0302038,-15.0211,-1.06923,-1.89208,-10.5663,-15.3226,-0.59538,0.433578,6.30929
-185.25,0.969596,0.507009,3,7,0,185.78,5.48022,-0.330085,-0.723079,-0.0981321,7.29389,0.630617,-0.136007,7.91519,18.757,-0.0994983,-0.683711,-27.9988
-185.507,0.966795,0.507009,3,7,0,188,5.21328,-0.363091,0.581287,0.10708,-1.22217,-0.28941,-2.27449,-9.43493,-14.0192,-0.352536,0.884033,22.8384
-185.544,0.97711,0.507009,3,7,0,188.186,5.51131,0.161966,-0.929537,-0.0725106,-13.6312,0.80259,1.06956,-22.453,22.2331,0.569074,-1.02702,-21.9016
