# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=2064700291
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df2_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled,p_gamma.1,p_aux_unscaled,g_gamma.1,g_aux_unscaled
-182.354,0.989467,0.613084,3,7,0,183.559,5.50618,-0.0120802,17.0505,-2.6348,19.0595,-4.92854
-181.36,0.986087,0.613084,3,7,0,183.227,5.41663,-0.0434762,-20.3812,-8.91459,8.29889,-10.8209
-181.51,0.991061,0.613084,2,7,0,181.711,5.26568,0.0310586,4.57679,-7.42389,-10.2698,7.58712
-181.405,0.957551,0.613084,2,5,0,182.401,5.43823,-0.0243161,14.0066,-9.61438,10.7715,-6.10242
-182.519,0.832161,0.613084,3,7,0,184.979,5.48006,-0.0666697,-20.3393,19.1336,17.5918,-18.9551
-181.809,0.7914,0.613084,2,7,0,186.912,5.43379,0.0649079,11.8336,-46.5137,8.53445,15.4889
-181.299,0.998776,0.613084,2,7,0,182.016,5.27463,-0.00475001,-6.71606,-15.9484,-9.92202,-0.981488
-181.107,0.987702,0.613084,2,7,0,181.668,5.40396,-0.0235236,11.6793,-1.02459,6.3447,-5.30891
-181.272,0.935134,0.613084,3,7,0,182.58,5.30453,-0.0436029,0.833138,-24.968,-6.71641,-10.678
-181.351,0.99123,0.613084,1,1,0,181.369,5.29653,-0.0454318,-0.801524,-2.74931,-7.81766,-11.2932
-180.993,0.933624,0.613084,2,7,0,182.627,5.39095,-0.0119492,-17.409,-13.7117,4.56305,-2.17633
-180.989,0.953065,0.613084,2,5,0,181.748,5.31787,0.00139117,13.1753,-4.83549,-4.50606,1.18032
-180.981,0.984685,0.613084,2,7,0,181.299,5.34421,-0.0276814,5.66323,-9.45654,-1.3566,-6.10004
-181.648,0.805857,0.613084,3,7,0,185.166,5.36306,0.0749205,0.744166,-40.9817,0.887214,18.3256
-182.487,0.961477,0.613084,2,7,0,182.92,5.24061,0.0835556,-6.62093,-11.0065,-11.8534,18.8201
-181.354,0.99598,0.613084,2,7,0,182.618,5.35373,0.0572475,13.4637,-15.7771,-0.102372,14.4736
-182.459,0.907702,0.613084,2,3,0,182.88,5.37821,0.110608,4.16499,12.9195,2.31797,25.671
-181.085,1,0.613084,2,3,0,182.497,5.40525,-0.0166676,3.93564,25.3792,6.4223,-3.54426
-181.049,0.88794,0.613084,3,7,0,183.296,5.34198,-0.0366193,-15.9996,23.9312,-1.67608,-8.4796
-181.407,0.970357,0.613084,2,3,0,181.608,5.2944,-0.0487647,6.97582,0.979197,-8.15704,-12.2416
-181.272,1,0.613084,1,1,0,181.399,5.30516,-0.0439051,-4.17684,-5.18919,-6.6363,-10.7519
-181.117,0.976492,0.613084,2,5,0,181.658,5.38648,0.0317335,-7.39226,-12.3222,3.66716,8.54109
-181.741,0.96607,0.613084,2,7,0,182.138,5.23922,0.0149681,-8.64326,-6.61491,-13.7589,3.08582
-183.679,0.917759,0.613084,3,7,0,184.524,5.33814,0.152101,12.101,-10.8138,-1.49799,33.6633
