# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=15421
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_beta.4,z_beta.5,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_beta.4,p_z_beta.5,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_beta.4,g_z_beta.5,g_aux_unscaled
-828.017,0.971838,0.27747,4,15,0,830.385,87.7868,-0.160398,0.222968,0.14442,-0.00967974,0.154422,-0.323128,6.2628,1.85913,-17.473,24.884,-22.9505,-42.3491,3.11307,3.4848,-32.3758,-54.8288,36.4166,-104.757,68.7544,-32.4517
-827.167,0.988664,0.27747,4,15,0,829.656,87.8131,-0.137255,0.217328,0.146714,0.0213316,0.105934,-0.309978,1.86456,-33.4974,0.629343,-26.0233,-40.7438,26.569,-22.8663,4.01546,21.728,44.4126,-87.3498,60.4462,-75.8636,-22.8811
-827.151,0.984418,0.27747,4,15,0,830.707,87.4607,-0.129756,0.204844,0.14641,-0.00380162,0.113643,-0.231093,0.867901,31.0071,-73.5633,-16.333,-29.9572,-9.25694,17.6416,-3.69053,17.6726,-53.0244,-18.9207,-40.7244,-5.89506,24.4989
-827.478,0.991442,0.27747,3,15,0,831.245,87.8977,-0.169247,0.19558,0.108907,0.0396737,0.163204,-0.275116,5.38561,-61.5253,8.7097,1.99368,29.4668,29.555,-24.8014,5.61142,26.127,11.1113,-70.1994,26.5312,1.42567,-2.56868
-828.009,0.790238,0.27747,4,31,0,833.877,87.5019,-0.119331,0.256713,0.20148,0.0145329,0.0959456,-0.241804,-5.76372,-43.9279,10.0342,15.9053,-44.3893,-76.1364,-18.4801,-2.91988,50.53,71.7389,17.53,85.4895,-0.816476,16.3896
-829.34,0.994247,0.27747,3,15,0,831.154,87.9958,-0.147494,0.259283,0.193083,-0.0327935,0.110088,-0.269638,4.9735,15.905,-22.2407,-40.1376,-12.3455,11.1774,-16.1122,7.69247,-84.4004,-12.7253,64.1096,-97.0273,14.815,-2.97234
-828.16,0.965767,0.27747,3,7,0,831.047,87.6939,-0.119164,0.259921,0.153057,0.00212485,0.122859,-0.247808,7.66622,-16.6059,29.8754,40.2003,-29.8476,8.47408,-2.55326,1.05538,71.5534,106.537,-71.5189,85.3613,-7.45753,12.4727
-831.159,0.887753,0.27747,3,15,0,833.533,87.6248,-0.159831,0.239743,0.19251,-0.0152449,0.152521,-0.287265,-1.92813,-55.7216,-11.6121,14.183,11.8566,-15.9188,-26.0541,-0.419149,-39.3458,-84.8214,167.593,-129.144,145.582,-17.1878
-827.08,0.871668,0.27747,2,3,0,834.706,87.6631,-0.165906,0.2559,0.180273,-0.0011046,0.134277,-0.284977,3.1075,-15.152,65.3609,-65.5504,52.6405,-71.0798,6.04789,0.443781,-65.3109,37.8017,46.7876,-32.186,23.8393,-7.65545
-827.736,0.899509,0.27747,3,7,0,831.954,87.9576,-0.130105,0.198452,0.149939,0.0186105,0.115936,-0.22803,-3.36233,-29.2912,34.3335,57.8764,-38.1159,37.7492,-21.6358,6.31094,49.1128,-37.0977,-15.594,8.6089,-0.231198,25.1682
