# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=32105
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df2_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_aux_unscaled
-835.012,0.925875,0.44978,3,7,0,837.288,87.4418,-0.108671,0.210918,0.210042,-0.296007,-6.46742,-59.6508,-50.2955,-1.04298,-17.7437,-4.63652,-74.55,-17.8378,-63.6631,-33.858
-833.934,0.995532,0.44978,3,7,0,836.155,87.8217,-0.0668703,0.248653,0.268392,-0.241032,-2.57888,-47.8729,-23.2595,-17.1319,-48.3901,3.67665,59.7444,9.98559,62.5291,1.33622
-838.193,0.886532,0.44978,3,7,0,839.192,88.2182,-0.0803875,0.273104,0.249719,-0.272864,-0.235848,-57.1294,-36.8708,-21.793,-4.17756,12.6253,20.0668,119.622,-33.0497,-26.2839
-837.971,0.975255,0.44978,3,7,0,841.894,87.0551,-0.0895033,0.206171,0.192414,-0.233958,4.08907,34.3572,-76.8549,71.2518,-34.7424,-11.9516,-8.64995,-3.5991,-101.743,-2.54035
-833.689,0.991693,0.44978,3,7,0,840.143,87.7533,-0.0898063,0.232361,0.260687,-0.300382,-14.6975,-23.7218,-59.4921,-65.4659,-15.5225,2.55087,-10.8993,-31.1954,71.8741,-33.8098
-833.541,0.992951,0.44978,3,7,0,835.203,87.3997,-0.0927088,0.256277,0.242643,-0.240363,4.3585,-6.42284,-2.07265,30.9854,-40.5728,-5.01518,-18.4513,71.9318,-26.9197,2.51931
-832.935,0.996382,0.44978,3,7,0,834.632,87.4633,-0.0686385,0.221404,0.229686,-0.243794,-4.33602,-29.7835,67.6776,2.15585,3.42797,-3.73053,54.6932,-14.0182,-13.4857,1.6429
-835.096,0.881726,0.44978,3,7,0,837.167,87.6822,-0.081784,0.241229,0.287202,-0.257618,-4.51041,51.8916,-66.7557,-19.2255,2.55031,0.827033,15.0914,-42.3402,135.104,-10.9367
-833.252,1,0.44978,3,7,0,835.249,87.76,-0.0922476,0.244157,0.221992,-0.236261,1.08968,10.6365,19.1417,91.1858,-7.47292,2.38203,-16.9184,65.9551,-70.4547,5.54339
-832.409,0.97913,0.44978,3,7,0,835.673,87.5137,-0.0797886,0.224399,0.228643,-0.26381,-2.65847,-22.218,-97.3863,-21.4124,-28.7527,-2.79539,21.6025,-3.45639,-22.0962,-9.31851
-834.889,0.832877,0.44978,2,7,0,838.937,87.639,-0.0740969,0.227927,0.267536,-0.177696,-3.78491,-4.75667,-25.5308,-71.0462,-62.0801,-0.0781743,33.3531,-45.3151,80.4716,37.4453
-833.87,0.999064,0.44978,3,7,0,836.099,87.8802,-0.0888326,0.22208,0.206196,-0.245413,-0.138051,-34.7542,3.37185,-57.7111,-44.8508,4.9236,-6.80012,23.8597,-86.3008,-1.20507
-834.332,0.954434,0.44978,3,7,0,837.168,87.5654,-0.107913,0.24233,0.274076,-0.223057,6.12047,7.91956,-32.981,-89.7946,-5.82118,-1.54867,-62.23,-17.1218,86.1606,11.3397
-834.447,0.999915,0.44978,3,7,0,835.885,87.5714,-0.0680384,0.254717,0.243543,-0.182517,1.62066,53.3389,-21.1502,-55.8127,-13.6188,-1.31867,49.9928,58.6871,-19.4274,35.4345
-832.895,1,0.44978,3,7,0,835.445,87.4626,-0.0738895,0.240374,0.252418,-0.26515,-0.301162,47.3457,45.2209,-10.5133,50.3971,-3.90924,40.4013,9.53165,28.0066,-11.0762
-833.703,0.976832,0.44978,3,7,0,834.662,87.7088,-0.0651866,0.249848,0.258049,-0.281699,6.75493,-0.403225,8.71815,-0.33793,-5.09471,1.46341,70.3413,31.7096,31.8809,-22.6206
-832.956,1,0.44978,2,3,0,833.777,87.7305,-0.0738974,0.249813,0.255683,-0.268559,0.248085,52.5766,16.2875,17.7718,-18.8107,1.89882,40.653,34.5645,23.5485,-13.2385
-834.843,0.887139,0.44978,3,7,0,836.981,87.9859,-0.108281,0.256596,0.247256,-0.260749,4.219,-97.1471,-14.55,-18.0596,12.4342,7.34333,-68.2529,68.6579,-14.0248,-12.3181
-835.413,0.994656,0.44978,3,7,0,837.236,87.1907,-0.0822704,0.199223,0.219307,-0.260742,-2.76722,79.0926,14.6114,-39.9651,19.0194,-9.70398,13.6548,-68.0181,-11.7319,-13.4974
-833.959,0.992918,0.44978,3,7,0,836.935,87.7409,-0.115822,0.243066,0.233265,-0.218499,-9.87066,-6.06765,-31.2914,-55.2702,-11.2648,1.92126,-84.5533,44.1986,-33.7877,14.8035
-832.716,0.993405,0.44978,3,7,0,834.8,87.5037,-0.0946712,0.222159,0.222117,-0.227267,3.36945,-81.4189,47.9052,-14.2207,14.5124,-2.79995,-23.7564,-0.189767,-36.4423,12.0047
-833.346,0.986033,0.44978,3,7,0,833.9,87.3327,-0.0875593,0.232163,0.230166,-0.218226,-2.2347,27.8978,15.177,34.8301,0.760284,-6.11635,-2.76233,17.1196,-26.9709,16.1818
-833.436,0.984955,0.44978,3,7,0,834.941,87.7678,-0.0949978,0.231667,0.251477,-0.190428,-8.17464,3.92977,-3.16913,-24.4704,5.1856,2.31813,-22.9693,-14.295,33.4871,32.7023
-834.29,0.981785,0.44978,3,7,0,835.139,87.4669,-0.0782496,0.227184,0.247927,-0.320825,1.47759,-1.14244,-56.2707,0.310258,1.10379,-4.26429,29.6865,-28.2401,38.7401,-47.2926
-836.109,0.868896,0.44978,3,7,0,838.589,87.3155,-0.0881522,0.220024,0.261944,-0.313763,6.56752,65.6523,13.9496,-48.52,-22.6919,-7.81304,-5.40123,-77.4393,99.8062,-46.686
-834.214,0.920752,0.44978,3,7,0,844.129,88.0298,-0.0800091,0.249635,0.237677,-0.23254,0.409542,129.435,87.4245,13.3691,-89.6467,7.83026,19.6319,58.4376,-31.3961,5.86241
-833.846,0.968138,0.44978,3,7,0,836.404,87.8863,-0.109361,0.228966,0.250128,-0.216248,6.5475,78.4807,45.3326,-23.3632,-7.44649,4.76457,-65.5612,-20.9043,35.2516,16.3807
-834.144,0.960676,0.44978,3,7,0,836.312,87.6588,-0.0651653,0.227582,0.255552,-0.188723,5.41098,-84.1996,-26.277,31.5865,4.82674,0.287648,58.4522,-30.9372,50.0516,32.3057
-832.901,0.926618,0.44978,2,7,0,836.958,87.5663,-0.0726057,0.241622,0.241374,-0.210645,-4.7501,-59.2089,55.2407,-69.9566,-42.713,-1.49338,39.8785,27.8515,-8.09816,21.6284
-833.265,0.984122,0.44978,4,15,0,833.943,87.5753,-0.0678078,0.255153,0.250489,-0.243426,-1.2809,1.72304,-9.05465,34.965,23.4891,-1.40923,57.1796,57.0234,-1.51101,1.23064
-835.694,0.889859,0.44978,3,7,0,837.307,87.6856,-0.131886,0.21373,0.243139,-0.243322,-1.20758,-40.6992,71.2038,-8.65487,-3.61693,0.874151,-137.705,-57.7904,39.1045,-3.5747
-832.591,0.985485,0.44978,3,7,0,837.908,87.5266,-0.0946864,0.238955,0.251252,-0.272929,-3.59638,152.497,61.555,5.02821,-20.0715,-2.56333,-26.0679,6.97868,26.9679,-15.1361
-834.703,0.916303,0.44978,3,7,0,835.662,87.9118,-0.112808,0.239351,0.223654,-0.270944,4.58901,11.7494,-36.714,-12.894,14.2716,5.87456,-84.2046,52.5595,-62.4707,-18.1775
-832.611,0.974406,0.44978,3,7,0,836.313,87.6474,-0.0766683,0.246652,0.237775,-0.233533,-6.28468,86.0805,-41.4628,65.2977,22.0002,0.0826419,29.6341,49.509,-26.7187,8.46907
-833.463,0.980001,0.44978,3,7,0,834.234,87.5409,-0.0826888,0.264601,0.254356,-0.23755,-2.21053,-28.1456,4.10687,48.425,-5.93236,-2.09584,11.7743,78.9526,-4.0612,4.37212
-835.21,0.9059,0.44978,3,7,0,837.795,87.8174,-0.111746,0.215735,0.253848,-0.296638,0.0264782,65.7065,-78.7409,-23.3238,16.7978,4.00804,-85.0455,-75.6442,76.3158,-34.61
-837.535,0.974464,0.44978,3,15,0,840.385,88.058,-0.0761273,0.24637,0.236196,-0.135664,3.53765,-69.5516,-42.0239,42.5814,-38.5135,6.92225,25.6789,41.9964,-25.4537,57.3914
-834.153,0.999976,0.44978,3,7,0,839.402,87.465,-0.0952379,0.191975,0.217633,-0.232873,-7.41577,-17.8767,30.3534,-25.9834,-75.8347,-3.61481,-25.7108,-83.4129,-5.28,5.75131
-833.574,0.94574,0.44978,3,7,0,837.329,87.9228,-0.0652652,0.227301,0.240152,-0.230189,-1.15674,-65.5864,10.852,114.891,-11.8933,5.63505,63.2161,-11.6624,9.15326,8.54107
-833.933,0.947747,0.44978,3,7,0,835.382,87.8561,-0.0687859,0.208821,0.244236,-0.256273,4.97128,53.8743,-25.4744,31.4197,11.8046,4.52147,55.6169,-76.3445,51.2042,-7.84186
-833.889,0.962499,0.44978,3,7,0,836.147,87.502,-0.104983,0.259395,0.242805,-0.228439,7.27458,19.0863,65.9134,-10.0305,-2.38075,-2.84049,-54.2518,79.2073,-30.4021,8.98548
-834.043,0.981268,0.44978,4,15,0,835.552,87.7759,-0.0742586,0.231825,0.207194,-0.258442,-1.00005,-45.1038,53.5603,43.6633,3.47302,2.8279,38.7051,53.4646,-100.725,-9.37036
